config,model_type,block_size,small_block_size,threshold,batch_size,max_new_tokens,num_samples,corpus_bleu4,corpus_bleu_norm,corpus_bleu_code,avg_bleu4,avg_bleu_norm,avg_bleu_code,avg_rouge1,avg_rouge2,avg_rougeL,avg_meteor,avg_cider,avg_tokens_per_second,avg_ms_per_token,avg_tokens_per_step,avg_diffusion_steps,avg_generated_tokens
bs64_sbs16_th0.2_cacheTrue_batch1_mnt128,dLLM,64,16,0.2,1,128,1000,0.007,0.0091,0.0084,0.0146,0.0165,0.0171,0.1185,0.0213,0.1069,0.0855,0.1728,18.7,58.996,3.7263,21.16,74.24
bs64_sbs16_th0.4_cacheTrue_batch1_mnt128,dLLM,64,16,0.4,1,128,1000,0.0112,0.0142,0.0149,0.0173,0.0197,0.0215,0.1301,0.0279,0.117,0.1058,0.2101,13.33,81.373,2.3931,29.8,68.13
bs64_sbs16_th0.6_cacheTrue_batch1_mnt128,dLLM,64,16,0.6,1,128,1000,0.012,0.0162,0.0168,0.0174,0.0206,0.0218,0.1335,0.0299,0.1193,0.1086,0.2193,11.62,94.039,2.0375,32.71,63.86
bs64_sbs16_th0.8_cacheTrue_batch1_mnt128,dLLM,64,16,0.8,1,128,1000,0.0127,0.0173,0.0178,0.0179,0.0214,0.0225,0.1349,0.0316,0.1207,0.1102,0.221,10.63,102.602,1.8189,34.95,61.74
bs64_sbs16_th0.8_cacheTrue_batch1_mnt64,dLLM,64,16,0.8,1,64,1000,0.0125,0.017,0.0176,0.0169,0.0201,0.0221,0.1272,0.0282,0.1149,0.0957,0.1913,8.05,151.794,1.5286,22.2,34.05
bs64_sbs16_th1.0_cacheTrue_batch1_mnt128,dLLM,64,16,1.0,1,128,1000,0.0127,0.0174,0.0179,0.018,0.0218,0.0231,0.1349,0.0326,0.1213,0.1109,0.2251,6.51,156.136,1.0004,62.03,62.05
bs64_sbs32_th0.2_cacheTrue_batch1_mnt128,dLLM,64,32,0.2,1,128,1000,0.0068,0.0093,0.0088,0.0142,0.0166,0.0169,0.1192,0.0211,0.1082,0.0868,0.1716,20.36,55.453,4.2434,19.72,76.53
bs64_sbs32_th0.4_cacheTrue_batch1_mnt128,dLLM,64,32,0.4,1,128,1000,0.0105,0.0135,0.0139,0.0162,0.0182,0.0196,0.1279,0.0256,0.1146,0.1046,0.2014,13.73,79.531,2.5149,29.51,69.99
bs64_sbs32_th0.6_cacheTrue_batch1_mnt128,dLLM,64,32,0.6,1,128,1000,0.0122,0.0157,0.0164,0.0174,0.0201,0.0216,0.1309,0.0289,0.1169,0.1071,0.218,11.75,93.179,2.0981,32.96,65.28
bs64_sbs32_th0.8_cacheTrue_batch1_mnt128,dLLM,64,32,0.8,1,128,1000,0.0127,0.0169,0.0173,0.0175,0.0206,0.022,0.1343,0.0308,0.1205,0.1097,0.2201,10.78,101.403,1.879,34.62,62.77
bs64_sbs32_th0.8_cacheTrue_batch1_mnt64,dLLM,64,32,0.8,1,64,1000,0.0125,0.0167,0.0174,0.0165,0.0194,0.0218,0.1268,0.0279,0.115,0.0959,0.1889,8.1,151.986,1.5557,21.85,34.07
bs64_sbs32_th1.0_cacheTrue_batch1_mnt128,dLLM,64,32,1.0,1,128,1000,0.0127,0.017,0.0174,0.0173,0.0205,0.022,0.134,0.0308,0.12,0.1092,0.2175,6.4,158.565,1.0004,62.94,62.96
